Age	CO2
-414085	285.5
-410831	276.3
-409022	283.7
-405844	279.7
-400390	278
-396713	274.7
-394628	266.3
-392451	250.2
-390589	255.2
-386579	259.3
-384909	264.7
-379633	245.9
-378194	246.9
-374561	240
-373014	227
-369563	229.7
-366221	214.7
-362766	201.9
-359688	206.4
-356838	201.2
-352412	186.2
-350765	193
-347610	209.2
-344735	216.2
-342998	221.2
-340165	220.4
-336972	204.9
-335290	205.2
-333627	200.7
-332293	250.2
-330208	234.2
-329267	239.7
-328097	241.9
-327114	255.7
-326239	270.5
-325527	278.7
-324991	285.8
-324189	278.2
-323485	298.7
-322827	288.4
-322582	289.2
-322111	282.4
-321386	273.2
-320378	272.7
-319754	271.8
-318980	265
-317445	275.2
-316681	271.9
-315940	270.2
-315143	266.2
-313493	266.3
-311774	260.3
-310930	260.4
-310039	256.3
-308101	249.2
-307131	255.9
-305306	244.7
-304590	251.7
-303953	272.7
-303334	246.9
-302456	257.2
-301496	256.8
-300646	251.7
-299877	241.9
-299020	239
-298051	237.9
-297131	233.2
-295849	227.9
-294615	225.9
-293676	244.9
-292474	250.2
-291769	240.7
-290571	240.2
-287846	236.2
-286217	224.4
-283492	213.2
-282301	212.7
-279543	207.7
-278602	217.2
-277925	220.4
-275218	231
-274445	230.4
-273012	226.4
-270680	231.4
-268679	223.7
-267434	215.4
-266492	211
-264834	202.2
-264046	193.2
-263207	198.4
-262411	194.2
-261595	193.9
-260754	190.4
-259958	184.7
-259228	198.9
-258477	194.2
-257247	188.7
-256501	211.7
-256053	199.9
-255233	228.2
-253880	214.7
-252959	208.9
-251521	209.7
-250461	203.9
-248980	204
-248087	201.9
-247447	199
-245483	196.7
-244863	195.4
-244215	213.9
-243653	200.2
-242068	214.7
-240577	219.4
-240201	230.4
-239545	249.9
-239250	252.4
-238935	263.8
-237831	279
-236236	259.8
-235213	252.9
-234781	247.4
-234470	245.9
-234126	245.7
-233646	239.2
-233102	243.1
-232570	247.4
-231990	241.4
-231382	252.2
-230703	245.2
-227840	241.7
-227384	233.9
-226710	232.4
-225888	224.5
-225509	233.1
-225299	234.5
-224630	236.9
-223446	215.7
-222958	203.4
-221612	205.7
-221054	208.9
-220760	207.2
-220182	216.2
-219680	212.2
-218342	240.5
-217676	245.4
-217271	251.2
-217009	251.7
-216459	247.5
-215879	242.7
-215593	240.3
-215041	241.4
-214153	251.2
-212281	257.4
-211005	252
-210830	247.3
-210022	244.6
-209414	242.2
-207991	238.2
-206119	228.7
-205715	232.2
-205148	244.4
-204283	247.7
-203191	239.1
-202212	251
-199025	242.6
-195625	220.1
-192632	218
-191057	231.5
-189335	231.4
-187199	210.7
-185063	203.5
-183355	199.8
-181617	217.7
-180779	213.2
-178550	207.7
-176271	190.1
-175440	190.3
-172596	197.8
-169870	197.9
-165278	183.8
-162996	191.6
-160494	204.4
-155299	185.5
-154471	189
-150303	191.9
-145435	197
-142357	190.4
-141312	196.5
-139445	192.3
-138226	190.2
-137694	193.4
-137383	194.4
-136659	195.9
-136359	202.5
-135976	201.8
-135683	198.1
-135003	204.6
-134205	208.9
-133334	224
-131789	240.4
-130167	259
-129755	263.4
-129411	264.1
-129007	282.7
-128652	286.8
-128399	287.1
-128300	274.1
-127445	275.4
-126809	262.6
-126475	262.5
-126023	267.1
-125746	273.8
-124876	277.2
-124571	279.8
-124306	266.3
-123858	266.6
-123815	268.7
-122606	276.5
-121961	272.2
-120652	277.7
-120002	265.2
-119273	272
-118396	273.8
-117519	267.6
-116175	262.5
-114738	273.3
-114082	274.6
-113472	261.4
-112577	266.3
-111456	256.8
-110253	251.3
-108994	245.7
-108308	238.2
-106203	230.7
-105213	236.9
-103372	228.2
-101829	236.9
-100833	230.9
-99842	225.9
-95349	232.1
-92460	228.4
-91691	224.3
-89363	208
-88051	217
-87180	214.2
-86323	228.1
-85727	236.4
-84929	241.1
-82858	231
-80059	221.8
-78995	217.1
-75360	229.2
-72849	227.4
-66883	195
-65701	191.4
-63687	195.4
-57799	210.4
-57068	221.8
-51174	190.4
-49414	215.7
-48229	210.1
-47024	188.4
-44766	189.3
-39880	209.1
-33884	209.1
-31447	205.4
-27062	191.7
-26303	188.5
-22977	191.6
-19988	189.2
-17695	182.2
-13989	225.3
-13405	236.2
-11719	238.3
-11326	244.8
-11013	263.7
-10123	261.6
-8113	259.6
-7327	254.6
-6220	262.2
-3833	268.1
-3634	272.8
-2342	284.7
1959	315.98
1960	316.91
1961	317.64
1962	318.45
1963	318.99
1964	319.62
1965	320.04
1966	321.37
1967	322.18
1968	323.05
1969	324.62
1970	325.68
1971	326.32
1972	327.46
1973	329.68
1974	330.19
1975	331.13
1976	332.03
1977	333.84
1978	335.41
1979	336.84
1980	338.76
1981	340.12
1982	341.48
1983	343.15
1984	344.87
1985	346.35
1986	347.61
1987	349.31
1988	351.69
1989	353.2
1990	354.45
1991	355.7
1992	356.54
1993	357.21
1994	358.96
1995	360.97
1996	362.74
1997	363.88
1998	366.84
1999	368.54
2000	369.71
2001	371.32
2002	373.45
2003	375.98
2004	377.7
2005	379.98
2006	382.09
2007	384.02
2008	385.83
2009	387.64
2010	390.1
2011	391.85
2012	394.06
2013	396.74
2014	398.81
2015	401.01
2016	404.41
2017	406.76
2018	408.72
2019	411.65
2020	414.21
2021	416.41
2022	418.53
